boss_order_id,order_date,shop,Brands,shipping_country,Order Total (GBP),Refund (GBP),net_revenue_gbp,has_coupon,coupon_code,campaign_type_clean
2943015,2023-10-19,CrazyBulk USA,CrazyBulk,SG,560.02,0.0,560.02,True,FREE PRODUCT,No coupon
2428267,2023-02-09,CrazyBulk UK,CrazyBulk,GB,560.0,0.0,466.6666666666667,True,"BUY 2 GET 1 FREE,FREE PRODUCT,LOVE",No coupon
3340167,2024-11-30,CrazyBulk USA,CrazyBulk,US,559.97,0.0,559.97,True,",FREE PRODUCT,SAVE30",No coupon
2597511,2023-04-28,CrazyBulk UK,CrazyBulk,GB,559.97,559.97,0.0,True,"FREE PRODUCT,LCBUKCDXAYJARE7",No coupon
2325842,2022-12-17,CrazyBulk USA,CrazyBulk,US,559.94,0.0,516.0737327188941,True,"FREE PRODUCT,SAVE20",No coupon
2761006,2023-07-14,CrazyBulk USA,CrazyBulk,US,559.86,0.0,514.2227324913891,True,FREE PRODUCT,No coupon
2989221,2023-11-24,PhenQ USA,Phen Q,US,559.27,0.0,517.8425925925925,True,",,EXTRA10",No coupon
3355231,2024-12-26,CrazyBulk USA,CrazyBulk,US,558.11,0.0,514.3870967741935,True,",,FREE PRODUCT,SALE20",No coupon
1875183,2022-02-16,PhenQ USA,Phen Q,US,557.4877100300829,278.74385501504145,262.96590095758626,False,,No coupon
3302405,2024-10-08,CrazyBulk USA,CrazyBulk,US,557.3,0.0,507.7904328018223,True,"FREE PRODUCT,PRIME",No coupon
2913156,2023-09-29,CrazyBulk USA,CrazyBulk,US,557.15,0.0,515.8796296296296,True,FREE PRODUCT,No coupon
2322186,2022-12-15,CrazyBulk USA,CrazyBulk,US,556.9830087028596,0.0,518.123729025916,True,"FREE PRODUCT,SALE20",No coupon
2273940,2022-11-17,CrazyBulk USA,CrazyBulk,US,556.9830087028596,0.0,556.9830087028596,True,"FREE PRODUCT,SALE20",No coupon
3270969,2024-08-24,CrazyBulk USA,CrazyBulk,US,556.34,0.0,556.34,True,FREE PRODUCT,No coupon
2992163,2023-11-25,PhenQ USA,Phen Q,US,556.23,0.0,510.8886337543054,True,",,EXTRA10",No coupon
2573079,2023-04-17,CrazyBulk USA,CrazyBulk,US,552.33,0.0,496.6996402877698,True,FREE PRODUCT,No coupon
3285818,2024-09-13,CrazyBulk USA,CrazyBulk,US,551.79,0.0,506.8105625717565,True,",FREE PRODUCT,HELLO25",No coupon
2131212,2022-08-06,CrazyBulk USA,CrazyBulk,US,551.3837945981994,0.0,551.3837945981994,True,",FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2447718,2023-02-19,CrazyBulk USA,CrazyBulk,US,551.28,0.0,508.0921658986175,True,"FREE PRODUCT,SALE20",No coupon
3012093,2023-12-12,CrazyBulk UK,CrazyBulk,GB,550.95,0.0,459.12500000000006,True,",FREE PRODUCT,SALE20",No coupon
3015201,2023-12-15,CrazyBulk USA,CrazyBulk,US,550.72,0.0,505.0160476845484,True,",FREE PRODUCT",No coupon
2914840,2023-09-30,CrazyBulk USA,CrazyBulk,US,550.72,0.0,515.8969555035129,True,",FREE PRODUCT,SALE20",No coupon
3324139,2024-11-11,CrazyBulk UK,CrazyBulk,GB,550.71,0.0,458.92500000000007,True,FRIDAY50,BLACK FRIDAY
2206727,2022-10-01,CrazyBulk USA,CrazyBulk,US,550.6663136528109,0.0,500.8880584082036,True,"FREE PRODUCT,SALE20",No coupon
3355744,2024-12-27,CrazyBulk USA,CrazyBulk,US,550.36,0.0,501.4669703872438,True,FREE PRODUCT,No coupon
3320829,2024-11-05,CrazyBulk USA,CrazyBulk,US,550.24,0.0,494.8201438848921,True,",FREE PRODUCT,LCBRZP9RPKZKE",No coupon
2135638,2022-08-09,PhenQ USA,Phen Q,ZA,550.1667222407469,0.0,550.1667222407469,False,,No coupon
3176688,2024-05-06,CrazyBulk UK,CrazyBulk,GB,549.94,0.0,458.2833333333334,False,,No coupon
3278930,2024-09-04,CrazyBulk USA,CrazyBulk,US,549.27,0.0,504.3801652892562,True,FREE PRODUCT,No coupon
3327513,2024-11-14,CrazyBulk USA,CrazyBulk,US,547.46,0.0,505.73672055427255,True,",FREE PRODUCT",No coupon
2560955,2023-04-12,CrazyBulk USA,CrazyBulk,US,547.08,0.0,505.3856812933026,True,FREE PRODUCT,No coupon
2284129,2022-11-23,CrazyBulk USA,CrazyBulk,US,547.0368835474513,91.17281392457522,409.9497028982698,True,"FREE PRODUCT,FRIDAY",No coupon
3307092,2024-10-15,CrazyBulk USA,CrazyBulk,US,546.53,0.0,546.53,True,FREE PRODUCT,No coupon
2645622,2023-05-20,CrazyBulk USA,CrazyBulk,US,546.22,0.0,504.59122401847577,True,"FREE PRODUCT,SALE20",No coupon
3356227,2024-12-28,PhenQ UK,Phen Q,GB,545.91,0.0,454.925,True,NEWYOU,NEW YEAR
3336561,2024-11-27,CrazyBulk USA,CrazyBulk,US,545.38,0.0,490.44964028776974,True,LCB5SE7B1TL63,No coupon
3218234,2024-06-23,CrazyBulk AUS,CrazyBulk,AU,544.9,0.0,495.3636363636363,True,"FREE PRODUCT,SALE20",No coupon
2888799,2023-09-15,CrazyBulk USA,CrazyBulk,US,544.21,0.0,492.4977375565611,True,FREE PRODUCT,No coupon
2651506,2023-05-23,CrazyBulk UK,CrazyBulk,GB,543.99,0.0,453.3250000000001,True,"FREE PRODUCT,SALE20",No coupon
2247768,2022-11-01,SupplementShippers,SupplementShippers,US,543.5296207478463,0.0,488.7856301689265,True,"CC25,CC20",No coupon
3056086,2024-01-20,PhenQ USA,Phen Q,US,543.46,0.0,511.4917647058824,True,",,EXTRA15",No coupon
2985248,2023-11-20,TestoPrime USA,TestoPrime,US,542.92,0.0,505.04186046511626,True,",,EXTRA20",No coupon
3188709,2024-05-21,CrazyBulk USA,CrazyBulk,US,542.91,0.0,502.6944444444444,True,",,FREE PRODUCT,SALE20",No coupon
3270232,2024-08-23,CrazyBulk USA,CrazyBulk,US,542.55,0.0,501.2009237875288,True,",FREE PRODUCT",No coupon
3033884,2024-01-02,PhenQ USA,Phen Q,US,542.38,0.0,490.841628959276,True,",,EXTRA15",No coupon
3176624,2024-05-06,CrazyBulk USA,CrazyBulk,US,542.31,0.0,486.3766816143497,True,FREE PRODUCT,No coupon
2893824,2023-09-18,CrazyBulk USA,CrazyBulk,US,542.06,0.0,493.9043280182232,True,",FREE PRODUCT,SALE20",No coupon
3196431,2024-05-27,CrazyBulk USA,CrazyBulk,US,541.68,0.0,497.5246842709528,True,",VIP TIER GIFT,FREE PRODUCT,FLASH40",No coupon
2924319,2023-10-06,CrazyBulk USA,CrazyBulk,US,541.54,0.0,493.43052391799546,True,",FREE PRODUCT,SALE20",No coupon
3171044,2024-04-30,CrazyBulk USA,CrazyBulk,US,541.49,0.0,507.2505854800937,True,FREE PRODUCT,No coupon
2963285,2023-11-03,CrazyBulk USA,CrazyBulk,US,541.27,0.0,470.6695652173913,True,",FREE PRODUCT,SALE20",No coupon
3026189,2023-12-28,CrazyBulk USA,CrazyBulk,US,540.93,0.0,499.1050009226794,True,",,FREE PRODUCT,SAVE175",No coupon
2913733,2023-09-29,CrazyBulk USA,CrazyBulk,US,540.79,0.0,540.79,True,",FREE PRODUCT,SALE20",No coupon
2470365,2023-03-01,CrazyBulk UK,CrazyBulk,GB,539.96,0.0,449.9666666666667,True,"FREE PRODUCT,BUY 2 GET 1 FREE,SAVE20",No coupon
2926655,2023-10-07,CrazyBulk USA,CrazyBulk,US,539.24,0.0,498.1431870669746,True,",FREE PRODUCT,SALE20",No coupon
3076435,2024-02-07,CrazyBulk UK,CrazyBulk,GB,538.97,0.0,449.1416666666667,True,"FREE PRODUCT,LCBUKPGJG8J3620",No coupon
3246128,2024-07-21,CrazyBulk USA,CrazyBulk,US,538.74,0.0,497.6812933025405,True,",QUIZ20",No coupon
2624129,2023-05-10,CrazyBulk USA,CrazyBulk,US,538.65,0.0,490.7972665148064,True,"FREE PRODUCT,SALE20",No coupon
2768378,2023-07-18,CrazyBulk USA,CrazyBulk,US,538.56,0.0,494.5454545454545,True,"FREE PRODUCT,SALE20",No coupon
2491536,2023-03-11,CrazyBulk USA,CrazyBulk,US,538.46,0.0,538.46,True,"FREE PRODUCT,SALE20",No coupon
2447711,2023-02-19,CrazyBulk USA,CrazyBulk,US,537.58,0.0,497.7592592592592,True,",FREE PRODUCT",No coupon
3007127,2023-12-07,TestoPrime USA,TestoPrime,US,537.37,0.0,467.27826086956526,True,",,,EXTRA20",No coupon
3292871,2024-09-24,CrazyBulk AUS,CrazyBulk,AU,537.05,0.0,488.22727272727263,True,FREE PRODUCT,No coupon
2608410,2023-05-03,CrazyBulk USA,CrazyBulk,US,537.01,0.0,481.62331838565024,True,FREE PRODUCT,No coupon
2137253,2022-08-10,CrazyBulk USA,CrazyBulk,US,536.8289429809937,0.0,489.1379890487415,True,"FREE PRODUCT,CBT0K8YJ1J",No coupon
2467454,2023-02-28,CrazyBulk USA,CrazyBulk,US,536.76,0.0,492.8925619834711,True,",FREE PRODUCT",No coupon
2333311,2022-12-22,CrazyBulk USA,CrazyBulk,US,536.6431827600499,0.0,536.6431827600499,True,",FREE PRODUCT",No coupon
2860393,2023-09-01,CrazyBulk USA,CrazyBulk,US,536.6,0.0,496.8518518518519,True,"FREE PRODUCT,SALE20",No coupon
2412892,2023-02-01,CrazyBulk USA,CrazyBulk,US,536.12,0.0,485.1764705882353,True,"FREE PRODUCT,SALE20",No coupon
3279588,2024-09-04,CrazyBulk USA,CrazyBulk,US,535.56,0.0,505.24528301886784,True,",SALE20",No coupon
