antecedent,consequent,pair_order_count,support,confidence,lift
CN2388P1,CNTPSCFLYER,323,0.0003202369952053681,0.20074580484773152,58.58733786225629
CNTPSCFLYER,CN2388P1,323,0.0003202369952053681,0.09346064814814815,58.58733786225629
CB2642M8,AS6352M4,513,0.0005086116982673493,0.890625,56.22163678182501
AS6352M4,CB2642M8,513,0.0005086116982673493,0.0321066466391288,56.22163678182501
AS2376P1,AS1114P1,8190,0.00811994114777698,0.7379708055505496,55.67225262983095
AS1114P1,AS2376P1,8190,0.00811994114777698,0.612565445026178,55.67225262983095
YB-GUIDES,WB2394P3,320,0.00031726265778859997,0.40973111395646605,53.13954918447762
WB2394P3,YB-GUIDES,320,0.00031726265778859997,0.041146971840041145,53.13954918447762
AS1114P1,AS1185P1,9642,0.009559520457492752,0.7211667913238594,50.75279224109696
AS1185P1,AS1114P1,9642,0.009559520457492752,0.6727602567680715,50.75279224109696
CN2388P1,CNTPVFLYER,209,0.00020721217336817934,0.12989434431323804,50.74170128426516
CNTPVFLYER,CN2388P1,209,0.00020721217336817934,0.08094500387296669,50.74170128426516
AS2376P1,AS1185P1,7895,0.007827464635128114,0.7113894395386556,50.06470189945542
AS1185P1,AS2376P1,7895,0.007827464635128114,0.5508651967624896,50.06470189945542
NC-GUIDES,NC4532P5,771,0.000764404716109408,0.25829145728643216,44.924986373495344
NC4532P5,NC-GUIDES,771,0.000764404716109408,0.13295395757889292,44.924986373495344
WS1267P5,P8-GUIDES,262,0.0002597588010644162,0.12140871177015755,44.03316293970172
P8-GUIDES,WS1267P5,262,0.0002597588010644162,0.09421071556993887,44.03316293970172
WB2563M3,WB2464P3,430,0.0004263216964034312,0.7904411764705882,43.39544431423778
WB2464P3,WB2563M3,430,0.0004263216964034312,0.023405181798388852,43.39544431423778
CB2567M3,AS6486P1,328,0.00032519422423331497,0.7522935779816514,37.77113678990876
AS6486P1,CB2567M3,328,0.00032519422423331497,0.016327343322216137,37.77113678990876
P8-GUIDES,WS1267P3,1198,0.001187752075096071,0.43078029485796476,34.52499541056808
WS1267P3,P8-GUIDES,1198,0.001187752075096071,0.09519268970997219,34.52499541056808
CB2419P1,CB2415P1,456,0.00045209928734875495,0.13893967093235832,33.26333786213214
CB2415P1,CB2419P1,456,0.00045209928734875495,0.10823641110847378,33.26333786213214
AS6494P3,AS6492P3,348,0.0003450231403451025,0.15760869565217392,32.885507546185536
AS6492P3,AS6494P3,348,0.0003450231403451025,0.0719900703351262,32.885507546185536
CB2565M3,AS6488P3,380,0.00037674940612396243,0.2846441947565543,31.404518143613416
AS6488P3,CB2565M3,380,0.00037674940612396243,0.04156639684970466,31.404518143613416
CB2420P1,CB2416P1,225,0.00022307530625760935,0.1580056179775281,26.938622455956423
CB2416P1,CB2420P1,225,0.00022307530625760935,0.03803245436105477,26.938622455956423
AS6485P1,AS6487P1,358,0.00035493759840099623,0.10585452395032525,26.362428835300904
AS6487P1,AS6485P1,358,0.00035493759840099623,0.08839506172839506,26.362428835300904
CB2418P1,CB2416P1,554,0.0005492609762965137,0.14168797953964193,24.156603013372205
CB2416P1,CB2418P1,554,0.0005492609762965137,0.09364435429344152,24.156603013372205
CB2608P1,CB2739P1,498,0.0004937400111835087,0.1250313833793623,23.70491619457884
CB2739P1,CB2608P1,498,0.0004937400111835087,0.09360902255639098,23.70491619457884
WS1268BF6,TP-GUIDES,971,0.000962693877227283,0.22766705744431417,22.479820735775206
TP-GUIDES,WS1268BF6,971,0.000962693877227283,0.09505628976994616,22.479820735775206
CB2562P1,AS6487P1,265,0.00026273313848118433,0.08515424164524421,21.207148751150466
AS6487P1,CB2562P1,265,0.00026273313848118433,0.0654320987654321,21.207148751150466
NC-GUIDES,protect,732,0.0007257383296914225,0.24522613065326634,20.282242042520927
