sku,orders_with_sku,revenue_alloc_gbp
CB2419P1,3282,95120.5374294571
CB2416P3,3272,157077.76953066664
WB2394P1,3212,145330.87176594994
CB2562P1,3112,91275.15992236404
AS6486P3,3074,132009.08364835219
WS2446P3,3064,276818.9691266685
AS4998M4,3012,191239.12263035358
NC-GUIDES,2985,112284.2303574276
WB2583P1,2968,137941.9268501046
AS6490P3,2899,123219.7892648666
SEMENOLL-1,2828,128785.4899206515
P8-GUIDES,2781,103753.60089064944
WB2460P5,2669,323495.79443604697
CB2461M4,2618,179533.92992203333
CNTPVFLYER,2582,42733.49752134665
AS6483P1,2572,81305.81613998271
CN2619P1,2545,106909.48019791734
CN1428P1,2483,86243.36315043783
WB2583P3,2477,222441.77146459464
WB2394P5,2402,289168.1267488107
KC1370P1,2384,103180.31510489463
CN2620P1,2335,95969.52622389478
KC1371P3,2262,184710.82703584942
CB2418P3,2242,104351.42109962073
AS6494P3,2208,101042.4778397587
CB2561P1,2192,72755.8539700329
WS2446P1,2191,101088.66917316843
CN1425P1,2190,85140.21979659918
WS1267P5,2158,259780.21343313518
AS6584M2,2157,127176.57460170929
AS6269BF6,2108,261720.21925293043
CNPACKLETTER,2106,38565.65685302957
AS6384M4EU,2082,127349.95287026874
WB1450P1,2056,76410.18024974641
WS1267P6,2039,249731.49430738803
SEMENOLL-3,2015,178640.958347049
CB2415P3,1979,95618.80155789609
AS6489P1,1792,57039.428049180606
AS6352M12,1792,184527.77851973148
CN2516P1,1687,80700.65683266948
AS6384M12,1658,170634.6592354465
CB2419P3,1626,76985.22439791667
CN2388P1,1609,62269.069467473266
CB2462M4,1565,110010.41607062815
AS6269BFM4,1545,130742.93944575817
CN2389P1,1534,63333.341017974955
AS6483P3,1519,74176.10546785154
WB2588P1,1518,62668.205098916966
CN2397P1,1513,50841.4623472559
CN2623P1,1430,52600.808140947
CB2420P1,1424,43773.86875295709
AS6269BFM2,1405,79343.71728790776
WB2464P5,1360,143940.33791741
WS2446P5,1338,175074.19580946956
CB2565M3,1335,54119.40687484855
373437,1277,73598.16070591682
CN1427P1,1272,46113.01371970978
CN2634P1,1249,36936.906464326385
AS1185P2,1234,60219.202507304544
CB2463M5,1228,95501.54948639772
AS6569M18,1218,177779.18306607558
NC4532BF4,1213,98053.464239554
CN2600P1,1193,39474.323284285725
WB2464BF2,1082,51036.96703684194
RCPM120P1,1063,37008.688603424926
CB0520P1,1045,20680.761519234435
AS5129P1,1036,33835.26065546742
WB1406P1,1035,34811.22397317116
NC4532BF2,1021,52111.100340191
